account_id,entity_id,account_type,status,balance,open_date
GB39JMZG94762542926456,610faa3f-f0bb-4c67-aa38-d0a16ba25efe,Business,Active,43389.93,2026-04-22
GB30TDOE99403694811266,acf5e81e-7131-4269-b118-e36477097749,Current,Active,24995.72,2025-04-03
GB08TNOV06833539101612,c04a96c4-f3b6-4fe1-9184-332417e8392a,Current,Active,46709.39,2025-12-20
GB70DMYW39949013334437,12a4def0-c4bb-47a9-9988-68dd9c7c7377,Savings,Active,28867.93,2025-11-10
GB98VIRZ14098410167930,c521bf2d-dc45-4539-803f-3538e4855aa1,Current,Active,9041.39,2026-06-19
GB47DMAJ99100420288661,76f2dbfe-cd29-436f-a222-82e174daaebf,Savings,Active,49308.55,2026-06-16
GB61XCTT03421348548420,3f4b1a70-c074-418e-825a-609f7337c599,Savings,Active,32549.57,2026-02-20
GB66NBWP91791386015711,620e99d3-3b33-43d8-a69c-d696236c7b87,Current,Active,48586.86,2023-06-25
GB60ZWDS40247028814112,620e99d3-3b33-43d8-a69c-d696236c7b87,Savings,Active,42964.26,2025-12-25
GB71KEPW19367857646391,f2311f17-9586-4a76-8511-55ffe7a37e81,Business,Active,45865.29,2026-02-12
GB05BUPJ91619423215401,8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,Savings,Active,25672.71,2025-10-25
GB53GKBN96261684552527,9f4c3b79-fb10-487f-a0ac-3703eb67146a,Savings,Active,18746.79,2026-05-06
GB64EULJ71798994885669,53ac2ab9-7467-4cd9-b62f-5e5c53cd6268,Business,Active,22559.6,2024-02-23
GB22BALD95675635584227,39669fa7-5997-4043-b3b1-025bfff9f585,Business,Active,2229.51,2025-01-17
GB78MEYU56504607001441,f2a03459-9060-4f62-9d48-a071ab61a7b1,Current,Active,37078.02,2022-09-13
GB66QUNF40871006689041,9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,Business,Active,496.35,2025-07-12
GB94APNF38115223282228,9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,Savings,Active,18853.5,2025-09-10
GB32PKEQ35999400410847,9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,Current,Active,11230.26,2025-08-18
GB09WDHL05357228920641,4d3485c5-c5c1-4eb4-b27b-3d901a16342c,Business,Active,4765.81,2026-04-16
GB20TYOQ30280104194534,6efb63b1-1b04-4863-bd7d-dbedd284476c,Business,Active,26802.28,2024-07-31
GB56ZYQY14478674280218,6efb63b1-1b04-4863-bd7d-dbedd284476c,Current,Active,4382.55,2021-08-30
GB63YLPR03789121397436,bb2488a3-d363-47b6-af81-cf4f7701f7bb,Savings,Active,38434.01,2025-03-07
GB33RKLP59940842906969,bb2488a3-d363-47b6-af81-cf4f7701f7bb,Savings,Active,3317.13,2025-11-22
GB08EQTZ86061065673374,d9d80b8d-7e8a-4ee7-8758-e201561e16d1,Business,Active,24366.12,2025-10-17
GB30CMKE76136814980253,680bac63-b856-4035-bdc9-829015eabb27,Savings,Active,5804.89,2025-05-28
GB62PXMT92964447725084,680bac63-b856-4035-bdc9-829015eabb27,Business,Active,7871.48,2024-10-19
GB73IFGJ80041724155369,4e6384bb-3e49-4f43-b118-f68d6786d506,Business,Active,10752.16,2023-06-10
GB36KOJS06279602425703,314d3441-b8a6-471f-9ee3-4dc43b048a8b,Business,Active,38732.86,2023-08-26
GB18TZKV94523158286304,31b1b099-d527-41e7-99bc-143efb02bebb,Savings,Active,39499.0,2026-03-04
GB70TNMF99172174292204,7daa39f0-c0b6-4ce2-9e53-790aa34b6cf6,Current,Active,2798.47,2025-03-01
GB95DLVH92669370632503,1d34d08e-7a4c-45d4-9c99-e04cf0e98b3b,Business,Active,21203.73,2026-06-18
GB77QBJR50220619019333,6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,Current,Active,4271.21,2024-09-29
GB89TPCT00002956162256,19675f06-bd76-4e35-b5c9-b0479c10c572,Savings,Active,4177.28,2025-06-13
GB77QXLL94079923045323,19675f06-bd76-4e35-b5c9-b0479c10c572,Savings,Active,43577.33,2026-05-12
GB65OZRY14564743701945,b07aa066-7354-45ea-a894-9b8d00af5b3a,Business,Active,44664.36,2025-10-07
GB49CVOP66650527612092,398d1ca6-8b68-40b5-9d61-fac36cd5e859,Current,Active,4712.82,2026-06-03
GB06PRBN19022311678706,670acc5c-b321-4f21-8dd8-eb85b04d3376,Savings,Active,48171.95,2025-06-17
GB05KHEE37185921268485,ac9ed156-f63f-4e41-ba9a-ca5e176132ed,Current,Active,17528.89,2024-12-10
GB90CCJE94300037539892,a2814044-6f96-4882-95d8-2980ff37d19c,Savings,Active,26821.76,2026-05-13
GB63GEIN59866932784178,a2814044-6f96-4882-95d8-2980ff37d19c,Business,Active,21895.52,2026-05-29
GB48NKSC53820114065266,49c8a43f-7ed7-4ed7-b194-990b6961929e,Business,Active,19517.98,2025-11-28
GB84ZHLC27245533756569,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,Business,Dormant,10008.14,2026-06-23
GB76QOQJ96224945104625,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,Business,Active,30863.97,2026-06-18
GB08SNKM85120627672935,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,Business,Active,37167.53,2026-03-25
GB26IVIE12914650223477,e17f29e1-7028-4046-89bc-473fed7bf656,Savings,Active,807.92,2023-08-25
GB65PXSO25184070339821,d7665cda-fe04-4059-b985-fb6217dc8eff,Current,Active,25022.34,2025-04-05
GB27YHGO20945167670636,faf14ff0-7b85-479a-95b0-77e06a5d932b,Business,Active,20378.69,2025-09-06
GB17GADC22008484264833,81fb18b3-c9a7-491f-af2a-e71357021049,Current,Active,49413.11,2025-10-31
GB42VSMA82896713605494,81fb18b3-c9a7-491f-af2a-e71357021049,Current,Active,31751.22,2026-05-08
GB69ARLN49013249519350,8b1e3b9d-c34b-4fbb-8d4a-75b8551ac8ea,Business,Active,4962.56,2024-05-11
GB60JMDP58080388904410,7914f8a8-bea4-4f31-9174-00f80b2c782a,Current,Active,21066.79,2025-10-24
GB63CLMM85135381483747,d85480f0-dfca-40b7-99b1-7e80dea4ae17,Current,Active,30087.07,2023-08-29
GB44GBTU01685647177840,65c17795-b155-46bc-9f8d-ed9756abf2f1,Current,Active,47623.61,2026-04-25
GB25EOZV16988371611586,a193c4b2-3c19-471d-9184-05ad9e11d2cd,Business,Active,47759.71,2026-06-24
